
set C :=  1	2	3	4	5;

set S := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
35	36	37	38	39	40	41	42	43	44	45	46	47	48	49;


param c := 
1	10893
2	25256
3	14014
4	56810
5	31096
6	19796
7	37833
8	22993
9	14985
10	24039
11	22193
12	20350
13	22998
14	50078
15	20237
16	30948
17	15112
18	19437
19	19815
20	12877
21	13631
22	16454
23	34659
24	17273
25	26528
26	16788
27	13954
28	17391
29	29677
30	17364
31	18636
32	43363
33	61638
34	55311
35	236806
36	40631
37	27011
38	68467
39	23787
40	42079
41	7881
42	17415
43	25968
44	28390
45	20122
46	50260
47	28004
48	16994
49	37645
;

param p: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  := 
1	1951.35 5297.9 6656.21 850.657 5875.52 2858.48 4735.6 12760.5 5901.53 5236.56 9484.03 4324.27 266.937 927.099 948.424 755.163 932.823 4959.99 6091.85 13214.1 6397.8 2683.75 3420.41 4940.13 17252.7 867.469 2621.49 2495 1089.69 4771.06 6599.83 17308.5 13716.8 7550.93 16326.6 7380.19 11504.6 5492.03 908.26 550.994 5283.9 34314.7 1019.1 3634.87 2612.26 1529.7 2424.11 1916.98 13501.5  
2	816.792 1102.27 1771.29 28.76 901.715 1019.96 115.64 868.6 761.536 732.093 675.785 329.436 266.742 851.916 948.229 754.964 932.649 724.757 1875.32 402.929 1080.97 850.202 1072.87 854.075 782.251 842.829 844.08 687.71 1089.5 870.51 517.373 637.572 828.917 937.69 585.392 898.679 1052.27 1074.15 908.075 1678 1182.16 955.921 807.332 818.835 922.566 857.261 971.001 1061.86 714.615  
3	1375.24 2492.95 3650.93 5014.85 3095.61 1497.28 7183.06 6558.55 3286.72 3118.66 4706.29 1773.72 369.777 947.4 909.251 828.838 1123.65 3111.67 3777.01 9737.55 3373.46 1955.78 2063.67 2979.45 8793.53 971.409 1405.48 1589 1014.01 2409.8 4572.72 9263.14 7693.58 3995.23 11115.1 4121.81 5575.12 2979.68 1065.81 610.11 2420.37 17625.6 931.017 1984.82 1658.15 1073.32 1546.33 1402.2 8166.72  
4	1183.97 3178.98 4517.08 0 4345.38 2348.6 2457.01 8861.99 3719.49 3206.03 5779.28 2518 238.743 905.943 920.148 726.291 907.761 3197.95 4682.19 8001.26 3995.18 1507.79 1920.72 3112.29 13334.1 847.812 1754.09 1515.72 1062.02 2899.63 3724.6 9474.2 8262.78 6401.81 10765.1 4930.24 7535.11 3560.95 881.551 1098.71 3160.12 24201.1 996.224 2424.86 1683.01 1501.52 2392.61 1899.53 9218.83  
5	939.705 988.429 1876.71 401.151 918.918 1035.19 465.048 854.988 810.12 837.911 623.402 225.737 336.529 898.326 852.113 778.755 1084.14 883.847 1944.61 717.958 1099.8 1033.63 1064.1 1002.57 763.926 925.426 868.235 817.958 956.114 833.342 688.458 799.188 890.667 972.403 839.185 971.409 976.741 1131.2 1022.43 832.882 1017.28 1095.72 884.83 858.375 1087.02 914.364 1011.89 1205.35 837.713 
;

param budget := 300000;
